IATTC Vessel number,Register Status,Vessel,Flag,Gear,Fish hold volume (m3),Confirmation date,Carrying capacity (t),Port of registration,Registration number,IMO number,Call sign,Length (m),Length type,Beam (m),Depth (m),Gross tonnage (t),Engine power (HP),Year built,Shipyard,Company name,Business Address,Previous name,Previous flag,Notes,Image available?,Last modification
14723,,Hai Xing 718,China,Longline,240,,299,Zhoushan,(Zhe)Chuandeng(Ji)(2022)FT-200046,8654209,BZ1VH,36.34,Type of Length Unknown,6.6,3.4,299,698,2011,Zhoushan Daishan Zhakou Shipyard,"Zhou Shan Haixing Ocean Fisheries Co., Ltd.","Room 606 No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,20 May 2025
15525,,Hai Xing 815,China,Longline,386,,428,Zhoushan,(Zhe)Chuandeng(Ji)(2023)FT-200009,9702912,BZU6B,40.15,Length Registered,7.3,3.7,428,698,2013,"Zhejiang Yingzhou Shipyard Company, Ltd.","Zhou Shan Haixing Ocean Fisheries Co., Ltd.","Room 606 No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,20 May 2025
15527,,Hai Xing 817,China,Longline,386,,428,Zhoushan,(Zhe)Chuandeng(Ji)(2023)FT-200010,9702936,BZU8B,40.15,Length Registered,7.3,3.7,428,698,2013,"Zhejiang Yingzhou Shipyard Company, Ltd.","Zhou Shan Haixing Ocean Fisheries Co., Ltd.","Room 606 No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,20 May 2025
9099,,Haishang 18,China,Longline,530,,,Shanghai,D60800176,8514849,BIWH,49.15,Length Registered,8.7,3.95,409,735,1985,"Miho Shipyard Company, Ltd.","Shanghai Deepsea Fishieres Company, Ltd.","6th Floor, No. 661 Anpu Road, Yangpu District, Shanghai",Kaijo Maru No. 18 - Change to Haishang 18 notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Flag at time of change: Japan,Japan - Change to China notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Vessel name at time of change: Kaijo Maru No. 18,   ,Yes,24 Jul 2015
4477,,Haishang 28,China,Longline,479,,,,(Hu)Chuandeng(Ji)(2014)FT-200008,9016088,BIWI,48.48,Length Registered,9,3.74,379,735,1990,,"Shanghai Deepsea Fishieres Company, Ltd.","6th Floor, No. 661 Anpu Road, Yangpu District, Shanghai",Kaijyo Maru No. 28 - Change to Haishang 28 notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Flag at time of change: Japan,Japan - Change to China notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Vessel name at time of change: Kaijyo Maru No. 28,   ,Yes,12 Aug 2015
4481,,Haishang 38,China,Longline,534,,,,(Hu)Chuandeng(Ji)(2018)FT-200007,9009035,BIWJ,49.95,Length Registered,9.1,3.85,409,735,1990,,"Shanghai Deepsea Fishieres Company, Ltd.","6th Floor, No. 661 Anpu Road, Yangpu District, Shanghai",Kaijyo Maru No. 38 - Change to Haishang 38 notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Flag at time of change: Japan,Japan - Change to China notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Vessel name at time of change: Kaijyo Maru No. 38,   ,Yes,17 Jul 2019
4409,,Haishang 58,China,Longline,458,,,,(Hu)Chuandeng(Ji)(2014)FT-200006,9019963,BIWK,48.48,Length Registered,9,3.74,427,735,1990,,"Shanghai Deepsea Fishieres Company, Ltd.","6th Floor, No. 661 Anpu Road, Yangpu District, Shanghai",Kaijyo Maru No. 58 - Change to Haishang 58 notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Flag at time of change: Japan,Japan - Change to China notified on 27 Feb 2011 (recorded on 28 Feb 2011) - Vessel name at time of change: Kaijyo Maru No. 58,   ,Yes,12 Aug 2015
8477,,Haixing,China,Longline,,,,,10180,,BASF,45.65,Type of Length Unknown,,,496,,1973,,"Liaoning Pelagic Fisheries Company, Ltd.","Dalianwan, Ganjingzi District, Dalian, China",,,   ,No,09 Jun 2003
8467,,Haiyang,China,Longline,,,,,10200,,BALB,43.63,Type of Length Unknown,,,493,,1978,,"Liaoning Pelagic Fisheries Company, Ltd.","Dalianwan, Ganjingzi District, Dalian, China",,,   ,No,09 Jun 2003
15325,,Hong Yang 11,China,Longline,442,,460,Zhoushan,(Zhe)Chuandeng(Ji)(2021)FT-200132,8672251,BZU4B,41,Length Registered,7.6,3.8,460,1000,2013,"Zhoushan Longsheng Ship Industry Co., Ltd.","Zhou Shan Haixing Ocean Fisheries Co., Ltd.","Room 606 No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,20 May 2025
16334,,Hong Yang 2,China,Longline,196,,82,Shidao,(Lu)Chuandeng(Ji)(2023)FT-200052,8749913,BBLY1,34.32,Length Registered,6.6,3.4,215,536,2010,,"Rongcheng Ocean Fisheries Company, Ltd.","No. 140 Guanhai Eastroad, Shidao, Rongcheng City, Shandong Province, China",,,   ,Yes,06 Sep 2023
16335,,Hong Yang 3,China,Longline,196,,82,Shidao,(Lu)Chuandeng(Ji)(2017)FT-200011,8749901,BBLY2,34.32,Length Registered,6.6,3.4,215,536,2010,,"Rongcheng Ocean Fisheries Company, Ltd.","No. 140 Guanhai Eastroad, Shidao, Rongcheng City, Shandong Province, China",,,   ,Yes,05 Apr 2017
15538,,Hong Yang 8,China,Longline,527,,473,,(Zhe)Chuandeng(Ji)(2023)FT-200188,8670540,BZU5C,44.19,Type of Length Unknown,7.5,3.9,476,1200,,,"Zhou Shan Haixing Ocean Fisheries Co., Ltd.","Room 606 No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,20 May 2025
15224,,Hong Yang 8,China,Longline,254,,120,Shidao,(Lu)Chuandeng(Ji)(2022)FT-200099,9649574,BBIW8,37.16,Length Registered,7,3.6,271,537,2011,,"Rongcheng Ocean Fishery Co., Ltd.","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",,,   ,Yes,05 Jun 2024
15226,,Hong Yang 88,China,Longline,292,,120,Shidao,(Lu)Chuandeng(Ji)(2023)FT-200076,9666948,BBIO8,35.16,Length Registered,7,3.7,255,537,2012,,"Rongcheng Ocean Fishery Co., Ltd.","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",,,   ,Yes,05 Jun 2024
15539,,Hong Yang 88,China,Longline,527,,473,,(Zhe)Chuandeng(Ji)(2023)FT-200189,8670552,BZU6C,44.19,Type of Length Unknown,7.5,3.9,476,1200,,,"Zhou Shan Haixing Ocean Fisheries Co., Ltd.","Room 606 No. 1-6 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,20 May 2025
15227,,Hong Yang 89,China,Longline,,,120,Shidao,(Lu)Chuandeng(Ji)(2017)FT-200012,9666950,BBIO9,35.16,Length Registered,7,3.7,255,653,2012,,"Rongcheng Deep-Sea Fisheries Company, Ltd.","No. 140 Guanhai Eastroad, Rongcheng City, Shandong Province, China",,,   ,Yes,05 Apr 2017
15225,,Hong Yang 9,China,Longline,254,,120,Shidao,(Lu)Chuandeng(Ji)(2022)FT-200097,9649586,BBIW9,37.16,Length Registered,7,3.6,271,537,2011,,"Rongcheng Ocean Fishery Co., Ltd.","Southwest of Yandunjiao Village, Lidao Town, Rongcheng City, Weihai City, Shandong Province",,,   ,Yes,05 Jun 2024
15992,,Hu Yu 918,China,Longline,314,,173,Shanghai,(Hu)Chuandeng(Ji)(2014)FT-200010,9745952,BZU4E,44.02,Length Between Perpendiculars,7.5,3.45,411,811,2013,"Huanghai Shipbuilding Company, Ltd.","Shanghai Deep Sea Fisheries Company, Ltd.","No. 661 AnPu Road, Shanghai, China",,,   ,Yes,12 Aug 2015
15993,,Hu Yu 919,China,Longline,314,,173,Shanghai,(Hu)Chuandeng(Ji)(2014)FT-200011,9745964,BZU5E,44.02,Length Between Perpendiculars,7.5,3.45,411,811,2013,"Huanghai Shipbuilding Company, Ltd.","Shanghai Deep Sea Fisheries Company, Ltd.","No. 661 AnPu Road, Shanghai, China",,,   ,Yes,12 Aug 2015
15994,,Hu Yu 927,China,Longline,407,,224,Shanghai,(Hu)Chuandeng(Ji)(2018)FT-200004,9784738,BZV7T,43.2,Length Between Perpendiculars,8.5,3.8,560,913,2015,Hetai Ship Repairing And Building Company,"Shanghai Deep Sea Fisheries Company, Ltd.","No. 661 AnPu Road, Shanghai, China",,,   ,Yes,21 May 2020
15995,,Hu Yu 928,China,Longline,407,,224,Shanghai,(Hu)Chuandeng(Ji)(2018)FT-200005,9784740,BZV8T,43.2,Length Between Perpendiculars,8.5,3.8,560,913,2015,Hetai Ship Repairing And Building Company,"Shanghai Deep Sea Fisheries Company, Ltd.","No. 661 AnPu Road, Shanghai, China",,,   ,Yes,21 May 2020
15996,,Hu Yu 929,China,Longline,407,,224,Shanghai,(Hu)Chuandeng(Ji)(2018)FT-200006,9784673,BZV9T,43.2,Length Between Perpendiculars,8.5,3.8,560,913,2015,Hetai Ship Repairing And Building Company,"Shanghai Deep Sea Fisheries Company, Ltd.","No. 661 AnPu Road, Shanghai, China",,,   ,Yes,21 May 2020
15316,,Hua Nan Yu 711,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100050,8628676,BZXD22,32.74,Length Registered,6.6,3.3,200,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
15317,,Hua Nan Yu 712,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100048,8628688,BZXD23,32.74,Length Registered,6.6,3.3,200,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
15318,,Hua Nan Yu 716,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100034,8654924,BZXD24,32.74,Length Registered,6.6,3.3,196,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,11 Oct 2016
15319,,Hua Nan Yu 717,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100033,8654936,BZXD25,32.74,Length Registered,6.6,3.3,196,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,11 Oct 2016
15320,,Hua Nan Yu 718,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100032,8654948,BZXD26,32.74,Length Registered,6.6,3.3,196,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,11 Oct 2016
15321,,Hua Nan Yu 719,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100030,8654950,BZXD27,32.74,Length Registered,6.6,3.3,196,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,11 Oct 2016
15322,,Hua Nan Yu 721,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100031,8654962,BZXD28,32.74,Length Registered,6.6,3.3,196,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,11 Oct 2016
15323,,Hua Nan Yu 722,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100029,8654974,BZXD29,32.74,Length Registered,6.6,3.3,196,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,11 Oct 2016
15324,,Hua Nan Yu 723,China,Longline,230,,90,,(Yue)Chuandeng(Ji)(2016)FT-100028,8654986,BZXD32,32.74,Length Registered,6.6,3.3,196,600,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,11 Oct 2016
15270,,Hua Nan Yu 731,China,Longline,324,,120,,(Yue)Chuandeng(Ji)(2017)FT-200084,9699139,BZXD33,38.15,Length Registered,7,3.8,296,799,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
15271,,Hua Nan Yu 732,China,Longline,324,,120,,(Yue)Chuandeng(Ji)(2017)FT-200085,9699141,BZXD34,38.15,Length Registered,7,3.8,296,799,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
15272,,Hua Nan Yu 736,China,Longline,324,,120,,(Yue)Chuandeng(Ji)(2017)FT-200086,9699153,BZXD35,38.15,Length Registered,7,3.8,296,799,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
15331,,Hua Nan Yu 737,China,Longline,324,,120,,(Yue)Chuandeng(Ji)(2017)FT-200087,9707596,BZXD36,38.15,Length Registered,7,3.8,296,799,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
15332,,Hua Nan Yu 738,China,Longline,324,,120,,(Yue)Chuandeng(Ji)(2017)FT-200088,9707601,BZXD37,38.15,Length Registered,7,3.8,296,799,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
15330,,Hua Nan Yu 739,China,Longline,324,,120,,(Yue)Chuandeng(Ji)(2017)FT-200089,9707613,BZXD38,38.15,Length Registered,7,3.8,296,799,,,"China Southern Fishery (Shenzhen) Company, Ltd.","4205A Landmark Tower, 4028 Jintian Road, Futian District, Shenzhen, China",,,   ,Yes,18 Dec 2020
19063,,Jin Feng 5,China,Longline,370,,180,Qin Huang Dao,(Ji)Chuandeng(Ji)(2021)FT-200021,9931032,BZU7Z,44.8,Length Registered,8.5,3.75,570,610,2021,"Dalian Fishing Vessel Company, Ltd.","CNFC Overseas Fisheries Co., Ltd.","No. 31 Minfeng Lane, Xicheng District, Beijing, China",,,   ,Yes,06 Sep 2024
19064,,Jin Feng 6,China,Longline,370,,180,Qin Huang Dao,(Ji)Chuandeng(Ji)(2021)FT-200022,9931020,BZU8Z,44.8,Length Registered,8.5,3.75,570,610,2021,"Dalian Fishing Vessel Company, Ltd.","CNFC Overseas Fisheries Co., Ltd.","No. 31 Minfeng Lane, Xicheng District, Beijing, China",,,   ,Yes,06 Sep 2024
7129,,Jin Sheng 6,China,Longline,689,,,Qin Huang Dao,(JI)CHUANDENG(JI)(2014)FT-200078,8652718,BZSX3,50,Type of Length Unknown,8.7,3.8,647,1029,2001,,"CNFC Overseas Fisheries Co., Ltd.","No. 31 Minfeng Lane, Xicheng District, Beijing, China",Fu Yuan Yu 011 - Change to Jin Sheng 6 notified on 29 Nov 2011 (recorded on 29 Nov 2011) - Flag at time of change: China,,   ,Yes,22 Mar 2024
7131,,Jin Sheng 7,China,Longline,652,,,Qin Huang Dao,(JI)CHUANDENG(JI)(2014)FT-200079,8652720,BZSX4,46.75,Type of Length Unknown,8.5,3.75,565,956,1997,,Zhong Yu Global Seafood Corporation,"7th Building 19 Block 18, 188 West Road South, 4th Ring Road, Fengtai District, Beijing, China",Fu Yuan Yu 012 - Change to Jin Sheng 7 notified on 29 Nov 2011 (recorded on 29 Nov 2011) - Flag at time of change: China,,   ,Yes,01 Dec 2015
7135,,Jin Sheng 8,China,Longline,689,,,Qin Huang Dao,(JI)CHUANDENG(JI)(2022)FT-200016,8652732,BZSX5,50,Type of Length Unknown,8.7,3.8,647,1029,2001,"Fuzhou Shunxing Shipyard Company, Ltd.","CNFC Overseas Fisheries Co., Ltd.","No. 31 Minfeng Lane, Xicheng District, Beijing, China",Fu Yuan Yu 015 - Change to Jin Sheng 8 notified on 29 Nov 2011 (recorded on 29 Nov 2011) - Flag at time of change: China,,   ,Yes,11 Aug 2022
4563,,Jin Sheng No. 1,China,Longline,566,,,Qin Huang Dao,(JI)CHUANDENG(JI)(2014)FT-200070,9020819,BZZX6,49.32,Type of Length Unknown,8.9,3.85,619,1600,1991,,Zhong Yu Global Seafood Corporation,"7th Building 19 Block 18, 188 West Road South, 4th Ring Road, Fengtai District, Beijing, China",Shotoku Maru 78 - Change to Jin Sheng No. 1 notified on 09 Jun 2008 (recorded on 11 Aug 2008) - Flag at time of change: Japan,Japan - Change to China notified on 09 Jun 2008 (recorded on 11 Aug 2008) - Vessel name at time of change: Shotoku Maru 78,   ,Yes,08 Apr 2016
4921,,Jin Sheng No. 2,China,Longline,554,,,Qin Huang Dao,(JI)CHUANDENG(JI)(2014)FT-200095,9105281,BZZX8,49,Type of Length Unknown,8.8,3.85,613,1000,1994,,"CNFC Overseas Fisheries Co., Ltd.","No. 31 Minfeng Lane, Xicheng District, Beijing, China",Taiwa Maru No. 108 - Change to Jin Sheng No. 2 notified on 25 May 2009 (recorded on 26 May 2009) - Flag at time of change: Japan,Japan - Change to China notified on 25 May 2009 (recorded on 26 May 2009) - Vessel name at time of change: Taiwa Maru No. 108,   ,Yes,22 Mar 2024
4927,,Jin Sheng No. 3,China,Longline,483,,,Qin Huang Dao,(JI)CHUANDENG(JI)(2022)FT-200022,9146675,BZZY7,49.2,Type of Length Unknown,8.8,3.85,602,1000,1996,,"CNFC Overseas Fisheries Co., Ltd.","No. 31 Minfeng Lane, Xicheng District, Beijing, China",Taiwa Maru No. 18 - Change to Jin Sheng No. 3 notified on 25 May 2009 (recorded on 26 May 2009) - Flag at time of change: Japan,Japan - Change to China notified on 25 May 2009 (recorded on 26 May 2009) - Vessel name at time of change: Taiwa Maru No. 18,   ,Yes,11 Aug 2022
19016,,Jin Xiang 11,China,Longline,283,,,Shekou,(Yue)Chuangdeng(Ji)(2024)FT-200009,9789362,BZYB2,33.9,Length Registered,7,2.8,271,1102,2014,"Zhuhai Chenlong Shipyard Company, Ltd.","Aoxian (Shenzhen) Fishery Company, Ltd.","Yantian Modern Industry Service Center, 6a-155 Shatoujiao Street, Yantian District, Shenzhen, China",,,   ,Yes,06 Apr 2024
19017,,Jin Xiang 12,China,Longline,283,,,Shekou,(Yue)Chuangdeng(Ji)(2024)FT-200070,9789374,BZYB3,33.9,Length Registered,6.5,2.8,271,1102,2014,"Zhuhai Chenlong Shipyard Company, Ltd.","Aoxian (Shenzhen) Fishery Company, Ltd.","Yantian Modern Industry Service Center, 6a-155 Shatoujiao Street, Yantian District, Shenzhen, China",,,   ,Yes,10 Jan 2025
19015,,Jin Xiang 7,China,Longline,283,,,Shekou,(Yue)Chuangdeng(Ji)(2024)FT-200006,9766279,BZYB7,33.9,Length Registered,7,2.8,271,1102,2014,"Zhuhai Chenlong Shipyard Company, Ltd.","Aoxian (Shenzhen) Fishery Company, Ltd.","Yantian Modern Industry Service Center, 6a-155 Shatoujiao Street, Yantian District, Shenzhen, China",,,   ,Yes,06 Apr 2024
19018,,Jin Xiang 808,China,Longline,283,,,Shekou,(Yue)Chuangdeng(Ji)(2024)FT-200012,1038212,BZYB6,35.06,Length Registered,7,3,340,1102,2023,"Zhejiang Zhong Chuang Liangyun Shipbuilding Technology Co, Ltd.","Aoxian (Shenzhen) Fishery Company, Ltd.","Yantian Modern Industry Service Center, 6a-155 Shatoujiao Street, Yantian District, Shenzhen, China",,,   ,Yes,06 Apr 2024
7097,,JingLu Yuan 004,China,Longline,,,,,YQ020K010108,,BZZS5,45.2,Type of Length Unknown,,,329,,1983,,"Jinglu Deepsea Fishing, Ltd.","Huancheng Road, Penglai, Shandong Province, China",,,   ,No,24 Oct 2002
8459,,Jingyuan 901,China,Longline,,,,,YQ020K000314,,BZZS2,49.45,Type of Length Unknown,,,652,,1982,,Yantai Beijing Deep Sea Fishing Company,"No. 35 Dengzhoulu, Penglai City, 265600 Shandong, China",,,   ,No,09 Jun 2003
9437,,JINGYUAN903,China,Longline,439,,220,Penglai,(Lu)Chuandeng(Ji)(2023)FT-200235,8676049,BZZT3,48.6,Length Overall,8.7,3.75,523,1179,2003,Dalian Liaonan Shipyard,"Yantai Jingyuan Fisheries Company, Ltd.","No. 22 Xianjingdong Road, Xingang Street, Penglai District, Yantai City, Shandong Province, China",Jing Yuan 903 - Change to JINGYUAN903 notified on 28 Sep 2024 (recorded on 30 Sep 2024) - Flag at time of change: China,,   ,Yes,30 Sep 2024
9439,,JINGYUAN906,China,Longline,439,,220,Penglai,(Lu)Chuandeng(Ji)(2023)FT-200236,8676051,BZZT4,48.6,Length Overall,8,3.75,523,1182,2004,Dalian Liaonan Shipyard,"Yantai Jingyuan Fisheries Company, Ltd.","No. 22 Xianjingdong Road, Xingang Street, Penglai District, Yantai City, Shandong Province, China",Jing Yuan 906 - Change to JINGYUAN906 notified on 28 Sep 2024 (recorded on 30 Sep 2024) - Flag at time of change: China,,   ,Yes,30 Sep 2024
8457,,Liao Jin Lun 102,China,Longline,,,,,10548,,BZST9,43.63,Type of Length Unknown,,,437,,1983,,"Liaoning Kimliner Ocean Fishing Company, Ltd.","Liyuan Mansion, 16 Minze Street, Dalian 116001, China",,,   ,No,09 Jun 2003
12361,,Liao Jin Lun 105,China,Longline,,,,,10454,,BZZB3,44.64,Type of Length Unknown,,,495,,1981,,"Ocean Fishing Company, Ltd.","Liyuan Mansion, 16 Minze Street, Dalian 116001, China",,,   ,No,13 Dec 2006
9125,,Liao Jin Lun 108,China,Longline,450,,,Zhoushan,(Zhe)Chuandeng(Ji)(2024)FT-200226,9004774,BZTF8,49.98,Length Overall,8.9,3.85,636,1000,1994,Yamanishi Shipbuilding & Iron Works,"Zhoushan Enze Marine Fisheries Co., Ltd.","Station 18 Room 401, Building 2 No. 3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",Sento Maru No. 1 - Change to Liao Jin Lun 108 notified on 07 Apr 2009 (recorded on 08 Apr 2009) - Flag at time of change: Japan,Japan - Change to China notified on 07 Apr 2009 (recorded on 08 Apr 2009) - Vessel name at time of change: Sento Maru No. 1,   ,Yes,10 Jan 2025
4905,,Liao Jin Lun 109,China,Longline,472,,,Zhoushan,(Zhe)Chuandeng(Ji)(2024)FT-200225,9057927,BZTF9,49.2,Length Registered,8.8,3.85,646,1176,1995,,"Zhoushan Enze Marine Fisheries Co., Ltd.","Station 18 Room 401, Building 2 No. 3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",Sento Maru No. 5 - Change to Liao Jin Lun 109 notified on 26 Sep 2011 (recorded on 29 Sep 2011) - Flag at time of change: Japan,Japan - Change to China notified on 26 Sep 2011 (recorded on 29 Sep 2011) - Vessel name at time of change: Sento Maru No. 5,   ,Yes,10 Jan 2025
12446,,Liao Jin Yu 58,China,Longline,,,,,11026,,BZYK2,47.5,Length Overall,,,660,,1991,,"Liaoning Kimliner Ocean Fishing Company, Ltd.","Liyuan Mansion, 16 Minze Street, Dalian 116001, China",,,   ,No,09 Jul 2007
12448,,Liao Jin Yu 68,China,Longline,,,,,11027,,BZYK3,45.6,Length Overall,,,548,,1990,,"Liaoning Kimliner Ocean Fishing Company, Ltd.","Liyuan Mansion, 16 Minze Street, Dalian 116001, China",,,   ,No,09 Jul 2007
12445,,Liao Jin Yu 78,China,Longline,,,,,11028,,BZYK4,44.95,Length Overall,,,515,,1990,,"Liaoning Kimliner Ocean Fishing Company, Ltd.","Liyuan Mansion, 16 Minze Street, Dalian 116001, China",,,   ,No,09 Jul 2007
12447,,Liao Jin Yu 88,China,Longline,,,,,11029,,BZYK5,44.15,Length Overall,,,524,,1991,,"Liaoning Kimliner Ocean Fishing Company, Ltd.","Liyuan Mansion, 16 Minze Street, Dalian 116001, China",,,   ,No,09 Jul 2007
18103,,Liao Yuan Yu 101,China,Longline,353,,,Zhoushan,(Zhe)Chuandeng(Ji)(2024)FT-200228,9903607,BZZH,44.8,Length Registered,8.5,3.75,554,1600,2019,"Dalian Fishing Vessel Company, Ltd.","Zhoushan Enze Marine Fisheries Co., Ltd.","Station 18 Room 401, Building 2 No. 3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,10 Jan 2025
18104,,Liao Yuan Yu 103,China,Longline,353,,,Zhoushan,(Zhe)Chuandeng(Ji)(2024)FT-200229,9903619,BZZB5,44.8,Length Registered,8.5,3.75,554,1600,2019,"Dalian Fishing Vessel Company, Ltd.","Zhoushan Enze Marine Fisheries Co., Ltd.","Station 18 Room 401, Building 2 No. 3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, China",,,   ,Yes,10 Jan 2025
15565,,Liao Yuan Yu 68,China,Longline,526,,300,,(Liao)Chuandeng(Ji)(2013)FT-200084,8717075,BZYL5,48.19,Type of Length Unknown,8.6,3.75,523,1000,,,Liaoning Goldenstar Ocean Fishing Company,"Room 1603B Tower Dalian Times Square, 26 Shiji Street, Zhong Shan District, Dalian, China",,,   ,Yes,31 Dec 2015
15566,,Liao Yuan Yu 88,China,Longline,514,,300,Dalian,(Liao)Chuandeng(Ji)(2013)FT-200083,8809206,BZYL6,49.15,Type of Length Unknown,8.7,3.85,558,1000,1988,"Miho Shipyard Company, Ltd.","Liaoning Kimliner Ocean Fishing Company, Ltd.","Room 1603 B Tower Dalian Times Square, 26 Shiji Street , Zhong Shan District, Dalian, P.R. China",Koei Maru No. 88 - Change to Liao Yuan Yu 88 notified on 07 Jan 2014 (recorded on 08 Jan 2014) - Flag at time of change: Japan,Japan - Change to China notified on 07 Jan 2014 (recorded on 08 Jan 2014) - Vessel name at time of change: Koei Maru No. 88,   ,Yes,22 Mar 2024
13566,,Liao Yuan Yu 98,China,Longline,535,,,Dalian,(Liao)Chuandeng(Ji)(2011)FT-200053,8921224,BZYK6,47.99,Length Overall,8.6,3.75,577,1000,1996,"Miho Shipyard Company, Ltd.","Liaoning Kimliner Ocean Fishing Company, Ltd.","Room 1603 B Tower Dalian Times Square, 26 Shiji Street , Zhong Shan District, Dalian, P.R. China",,,   ,Yes,10 Dec 2015
4503,,Liao Yuan Yu 99,China,Longline,,,,,(Liao)Chuandeng(Ji)(2011)FT-200048,9004372,BZYK7,55.16,Length Registered,,,577,,,,"Liaoning Kimliner Ocean Fishing Company, Ltd.","Room 1603 B Tower Dalian Times Square, 26 Shiji Street , Zhong Shan District, Dalian, P.R. China",Ryoan Maru No. 38 - Change to Liao Yuan Yu 99 notified on 25 Sep 2008 (recorded on 26 Sep 2008) - Flag at time of change: Japan,Japan - Change to China notified on 25 Sep 2008 (recorded on 26 Sep 2008) - Vessel name at time of change: Ryoan Maru No. 38,   ,No,31 Dec 2015
17083,,LinXiang No. 1,China,Longline,,,,,YG020j010168,8667397,BZYC2,48.64,Length Overall,,,657,,2001,,"Linyi Linxiang Fishery Company, Ltd.","Haiguan Road, Linyi City, Shandong Province, China",,,   ,No,09 Feb 2017
7123,,Long Xing 601,China,Longline,397,,,Dalian,(Liao)Chuandeng(Ji)(2017)FT-200066,8828329,BZST,47.99,Length Overall,8.9,3.75,486,1000,1990,,"Dalian Ocean Fishing Company, Ltd.","Zhongshan District, Dalian, China",,,   ,Yes,31 May 2018
