"CCSBT Registration Number","Vessel Group","Vessel Name","Previous Vessel Name",Flag,"Authorising Entity",Callsign,"Vessel Registration Number",IMO,Tonnage,"Vessel Type","Gear Type",Length,"Length Type","Owner Name","Owner Address","Owner Country","Operator Name","Operator Address","Operator Country","Onboard Freezing Capacity","Authorisation Start Date","Authorisation End Date"
FV6170,Fishing,"MUTIARA - 6",,Indonesia,Indonesia,YEB5102,"62 NO.2709/PD",8526763,62.00,Longline,LL,21.95,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV7840,Fishing,"MUTIARA 26","FAJAR 9",Indonesia,Indonesia,YE5713,"122 NO.6045/PST",8783218,122.00,Longline,LL,30.1,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV7910,Fishing,"NAGA MAS PERKASA 166",,Indonesia,Indonesia,YEC5136,"137 NO.2278/PD",8593493,137.00,Longline,LL,34.86,LOA,"JONI SUSANTO","JL. IKAN TUNA IV PELABUHAN BENOA NO 5, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6151,Fishing,"NAGA MAS PERKASA - 18",,Indonesia,Indonesia,YEB5743,"63 NO.2492/PD",8569442,63.00,Longline,LL,24.1,LOA,"CAHYADI T","JL. MERTASARI GG. KELANA SIDAKARYA DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV7912,Fishing,"NAGA MAS PERKASA 169",,Indonesia,Indonesia,YEC5134,"145 NO.2308/PD",8593651,145.00,Longline,LL,32.9,LOA,"JONI SUSANTO","JL. IKAN TUNA IV PELABUHAN BENOA NO 5, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6943,Fishing,"NAGA MAS PERKASA 259",,Indonesia,Indonesia,YEC5375,"136 NO.2323/PD",8587626,136.00,Longline,LL,33.1,LOA,JOHAN,"JL. MERTASARI GG. KELANA NO.7 SIDAKARYA, DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV7753,Fishing,"NAGA MAS PERKASA 122",,Indonesia,Indonesia,YEC5130,"125 NO.2234/PD",8592671,125.00,Longline,LL,30.55,LOA,"INDOTAMA BAHARI, PT.","JL.IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, KEL. PEDUNGAN , KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV7819,Fishing,"MUTIARA 38","FAJAR 1",Indonesia,Indonesia,YE5712,"148 NO.6044/PST",8647359,148.00,Longline,LL,29,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6171,Fishing,"MUTIARA - 7",,Indonesia,Indonesia,YEB5103,"58 NO.2639/PD",8565850,58.00,Longline,LL,22.9,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV5022,Fishing,"LINGSAR - 6","UNGGUL MAKMUR",Indonesia,Indonesia,YE5147,"86 NO.2507/PD",8563723,86.00,Longline,LL,26.37,LOA,ANNY,"JL. IKAN TUNA BARAT BENOA DENPASAR, PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR. PROV. BALI",Indonesia,"GOLDEN TUNA, PT","JL. IKAN TUNA BARAT RAYA II PELABUHAN BENOA, KOTA DENPASAR, PROV. BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV5042,Fishing,"MEKAR GLORIA",,Indonesia,Indonesia,YEA5552,"97 NO.543/FP",8568955,97.00,Longline,LL,31.22,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV5046,Fishing,"MEKAR MANDIRI",,Indonesia,Indonesia,YEA5608,"103 NO.2705/PD",8527298,103.00,Longline,LL,30.5,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV4992,Fishing,"JAYA PONTI - I",,Indonesia,Indonesia,YE4735,"110 NO.2582/PD",8528266,110.00,Longline,LL,29.54,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV6516,Fishing,MAHAKAM,,Indonesia,Indonesia,YE4738,"100 NO.2167/PD",8528137,100.00,Longline,LL,31.2,LOA,"BINTANG JAYAKOTA MANDIRI, PT","JL. IKAN TUNA RAYA IV NO. 16 PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV5028,Fishing,"MAHAKAM JAYA",,Indonesia,Indonesia,YE4957,"95 NO.2150/PD",8526830,95.00,Longline,LL,31.3,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV6168,Fishing,"MUTIARA - 3",,Indonesia,Indonesia,YEB4429,"45 NO.2461/PD",8527602,45.00,Longline,LL,19.58,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV5023,Fishing,"LINGSAR - 07",,Indonesia,Indonesia,YEA5056,"149 NO.2766/PD",8565733,149.00,Longline,LL,29.05,LOA,RITA,"PERUMAHAN GUNUNG SARI INDAH BLOK A9 DSN GUNUNG, DESA PEMOGAN, KECAMATAN DENPASAR SELATAN",Indonesia,"GOLDEN TUNA, PT","JL. IKAN TUNA BARAT RAYA II PELABUHAN BENOA, KOTA DENPASAR, PROV. BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6471,Fishing,"MATSAM JAYA - 08","MATSAM 08",Indonesia,Indonesia,YEB5214,"70 NO.2711/PD",8563735,70.00,Longline,LL,22.75,LOA,ANNY,"JL. IKAN TUNA BARAT BENOA DENPASAR, PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR. PROV. BALI",Indonesia,"GOLDEN TUNA, PT","JL. IKAN TUNA BARAT RAYA II PELABUHAN BENOA, KOTA DENPASAR, PROV. BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6575,Fishing,"MEKAR JAYA ABADI",,Indonesia,Indonesia,YEA5581,"162 NO.2800/PD",8527133,162.00,Longline,LL,34.39,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV6577,Fishing,"BORNEO JAYA - II",,Indonesia,Indonesia,YE4742,"115 NO.2781/PD",8525941,115.00,Longline,LL,31.46,LOA,"BINTANG JAYAKOTA MANDIRI, PT","JL. IKAN TUNA RAYA IV NO. 16 PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV6515,Fishing,"JAYA BALI BERSAUDARA - 8",,Indonesia,Indonesia,YEA5516,"122 NO.2417/PD",8527858,122.00,Longline,LL,31.14,LOA,"JAYABALI BERSAUDARA, PT","JL. IKAN TUNA BARAT NO.2 BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV5668,Fishing,"BINA HASIL - I",,Indonesia,Indonesia,YEA5395,"98 NO.1536/PD",8527470,98.00,Longline,LL,29.96,LOA,"GOLDEN TUNA, PT","JL. IKAN TUNA BARAT RAYA II PELABUHAN BENOA, KOTA DENPASAR, PROV. BALI",Indonesia,"GOLDEN TUNA, PT","JL. IKAN TUNA BARAT RAYA II PELABUHAN BENOA, KOTA DENPASAR, PROV. BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6071,Fishing,"BINTANG MAS DIAMOND",,Indonesia,Indonesia,YEB4894,"84 NO.2774/PD",8527341,84.00,Longline,LL,24.25,LOA,CHANDRA,"JL. PENDIDIKAN I/A3 GRAHA KERTI SIDAKARYA DENPASAR BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6589,Fishing,"JASA MINA UTAMA - I",,Indonesia,Indonesia,YE5780,"145 NO.3168/PD",8568589,145.00,Longline,LL,31.41,LOA,"BINTANG JAYAKOTA MANDIRI, PT","JL. IKAN TUNA RAYA IV NO. 16 PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV4905,Fishing,"BINTANG KASIH UTAMA",,Indonesia,Indonesia,YE5978,"107 NO.327/FP",8528345,107.00,Longline,LL,32.05,LOA,"BINTANG JAYAKOTA MANDIRI, PT","JL. IKAN TUNA RAYA IV NO. 16 PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV6389,Fishing,"JAYA BALI - B.03",,Indonesia,Indonesia,YEA4276,"146 NO.2616/PD",8528101,146.00,Longline,LL,32.41,LOA,"JAYABALI BERSAUDARA, PT","JL. IKAN TUNA BARAT NO.2 BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV6202,Fishing,"CAHAYA MAKMUR I",,Indonesia,Indonesia,YEB5161,"59 NO.2453/PD",8527614,59.00,Longline,LL,21.94,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV5515,Fishing,"GOLDEN TUNA - 168",,Indonesia,Indonesia,YEB5179,"80 NO.1640/PD",8528008,80.00,Longline,LL,24.32,LOA,"GOLDEN TUNA, PT","JL. IKAN TUNA BARAT RAYA II PELABUHAN BENOA, KOTA DENPASAR, PROV. BALI",Indonesia,"GOLDEN TUNA, PT","JL. IKAN TUNA BARAT RAYA II PELABUHAN BENOA, KOTA DENPASAR, PROV. BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6576,Fishing,"BALI PERMAI - 68",,Indonesia,Indonesia,YE4175,"134 NO.2750/PD",8572138,134.00,Longline,LL,32.9,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV4869,Fishing,"BALI JAYA - III",,Indonesia,Indonesia,YE5124,"134 NO.1464/HHA",8527107,134.00,Longline,LL,31.8,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV4873,Fishing,"BALI PERMAI - I",,Indonesia,Indonesia,YE5007,"143 NO.1651/BC",8527303,143.00,Longline,LL,31.41,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV7911,Fishing,"BANDAR BAHARI 278","FRANSISKA 6",Indonesia,Indonesia,YEA5356,"147 NO.3231/PD",8545630,147.00,Longline,LL,29.95,LOA,"BARUNA SEGARA MANDIRI, PT","JL. IKAN TUNA II NO.8, PELABUHAN BENOA",Indonesia,"BARUNA SEGARA MANDIRI, PT","JL. IKAN TUNA II NO.8, PELABUHAN BENOA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6029,Fishing,"BANDAR BAHARI - 198",,Indonesia,Indonesia,YEB5327,"86 NO.2510/PD",8527339,86.00,Longline,LL,24.79,LOA,"BARUNA SEGARA MANDIRI, PT","JL. IKAN TUNA II NO.8, PELABUHAN BENOA",Indonesia,"BARUNA SEGARA MANDIRI, PT","JL. IKAN TUNA II NO.8, PELABUHAN BENOA",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6578,Fishing,"BENOA JAYA",,Indonesia,Indonesia,YE4958,"136 NO.2782/PD",8526270,136.00,Longline,LL,32.5,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV4885,Fishing,"BANDAR NELAYAN - 17","SB. MAKMUR",Indonesia,Indonesia,YE4830,"138 NO.340/PD",8527054,138.00,Longline,LL,31.85,LOA,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"BANDAR BENOA BALI, PT","JL. IKAN TUNA RAYA BARAT NO.5 PELABUHAN BENOA - DENPASAR",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV4874,Fishing,"BALI PERMAI - 168",,Indonesia,Indonesia,YE4177,"143 NO.2747/PD",8528321,143.00,Longline,LL,33.96,LOA,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,No,"01 Jan 2025","31 Dec 2025"
FV5851,Fishing,"BANDAR NELAYAN - 156",,Indonesia,Indonesia,YEB5352,"111 NO.2443/PD",8527016,111.00,Longline,LL,30,LOA,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"BANDAR BENOA BALI, PT","JL. IKAN TUNA RAYA BARAT NO.5 PELABUHAN BENOA - DENPASAR",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV4895,Fishing,"BANDAR NELAYAN - XXI",,Indonesia,Indonesia,YE5652,"148 NO.2551/PD",8527951,148.00,Longline,LL,33.27,LOA,"BANDAR NELAYAN, PT.","JL. IKAN TUNA IV NO. 8 KEL. PEDUNGAN, KEC. DENPASAR SELATAN, DENPASAR, BALI",Indonesia,"BANDAR BENOA BALI, PT","JL. IKAN TUNA RAYA BARAT NO.5 PELABUHAN BENOA - DENPASAR",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV4845,Fishing,"BAHARI - 18",,Indonesia,Indonesia,YEA5547,"141 NO.2328/PD",8527171,141.00,Longline,LL,31.34,LOA,DESY,"JL. PALAPA XIII BR/LINK TAMAN SARI, KEL. SESETAN, KEC. DENPASAR SELATAN, KOTA DENPASAR",Indonesia,DESY,"JL. PALAPA XIII BR/LINK TAMAN SARI, KEL. SESETAN, KEC. DENPASAR SELATAN, KOTA DENPASAR",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6617,Fishing,"BAHARI NUSANTARA - 23",,Indonesia,Indonesia,YEB5757,"132 NO.2499/PD",8565147,132.00,Longline,LL,32.6,LOA,JOVEN,"JL. MERTASARI GG KELANA NO.7, KEL. SIDAKARYA, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6122,Fishing,"BAHARI NUSANTARA 85","INTAN LAUT - 7",Indonesia,Indonesia,YEB5643,"44 NO.3224/PD",8527755,44.00,Longline,LL,21.85,LOA,"INDOTAMA BAHARI, PT.","JL.IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, KEL. PEDUNGAN , KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6934,Fishing,"BAHARI NUSANTARA - 689",,Indonesia,Indonesia,YE3361,"147 NO.2858/PD",8590154,147.00,Longline,LL,34.95,LOA,"INDOTAMA BAHARI, PT.","JL.IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, KEL. PEDUNGAN , KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV7754,Fishing,"BAHARI NUSANTARA 199",,Indonesia,Indonesia,YEB5732,"128 NO.2198/PD",8592657,128.00,Longline,LL,33.22,LOA,"INDOTAMA BAHARI, PT.","JL.IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, KEL. PEDUNGAN , KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
FV6928,Fishing,"BAHARI NUSANTARA 29",,Indonesia,Indonesia,YEC5874,"149 NO.3024/PD",8590130,149.00,Longline,LL,35.9,LOA,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,Yes,"01 Jan 2025","31 Dec 2025"
CV6666,Carrier,"NAGA MAS PERKASA 89",,Indonesia,Indonesia,YEB5723,"146 NO.2617/PD",8569650,146.00,"Transhipment/carrier vessels",,30.2,LOA,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,,"01 Jan 2025","31 Dec 2025"
CV6670,Carrier,"PERMATA TUNA WIJAYA 01",,Indonesia,Indonesia,YE4254,"298 NO.7938/BC",8525903,298.00,"Transhipment/carrier vessels",,36.7,LOA,"CHARLYWIJAYA TUNA, PT.","JL. SLAMET RIYADI KEL. TAMBAKREJA, KEC. CILACAP SELATAN, JAWA TENGAH",Indonesia,NURSANDI,"TRANSIT TIMUR NO.24 PPS MUARA BARU KEL. PENJARINGAN, KEC. PENJARINGAN - JAKARTA UTARA",Indonesia,,"01 Jan 2025","31 Dec 2025"
CV7760,Carrier,"BAHARI NUSANTARA",,Indonesia,Indonesia,YEA4347,"136 NO.1699/BC",8584648,136.00,"Transhipment/carrier vessels",,32.17,LOA,"NAGAMAS PERKASA NUSANTARA, PT.","JL. IKAN TUNA RAYA III NO. 1 A PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR - BALI",Indonesia,"SUMBER MINA SAMUDERA, PT.","JL. IKAN TUNA BARAT KOMPLEK SSU PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, BALI",Indonesia,,"01 Jan 2025","31 Dec 2025"
CV6664,Carrier,"MUTIARA - 36",,Indonesia,Indonesia,YB5553,"294 NO.2874/PD",8566426,294.00,"Transhipment/carrier vessels",,34.7,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,,"01 Jan 2025","31 Dec 2025"
CV6715,Carrier,"NUSANTARA JAYA 32",,Indonesia,Indonesia,YEC5617,"149 NO.3112/PD",8587389,149.00,"Transhipment/carrier vessels",,33.65,LOA,"BINTANG JAYAKOTA MANDIRI, PT","JL. IKAN TUNA RAYA IV NO. 16 PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,"PUTRA JAYA KOTA, PT","JL. IKAN TUNA BARAT NO.2, PELABUHAN BENOA, KEL. PEDUNGAN, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Indonesia,,"01 Jan 2025","31 Dec 2025"
CV4983,Carrier,"HIROYOSHI - 17",,Indonesia,Indonesia,YB5548,"171 NO.1718/BC",8565836,171.00,"Transhipment/carrier vessels",,33.57,LOA,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,"INTIMAS SURYA, PT.","JL. MUARA KARANG BLOK O 6 T NO.2 - JAKARTA UTARA",Indonesia,,"01 Jan 2025","31 Dec 2025"
