Name,"Built in Country","Built in Year","IMO Number","WCPFC ID","FFA ID","International Radio Call Sign (IRCS)",MMSI,"Registration Number",Flag,Type,"Registration Start","Registration Period","Current Status","Application Type",Registrant,"Registrant Acting As","Reason for Deregistration","Registration Number","Port of Registry","Vessel Tonnage (GRT)","Hull Material","Vessel Length (LOA)","Vessel Length (PP)","Vessel Length (RL)","Rated Speed","Normal Crew Complement","Engine Model","Total Fuel Carrying Capacity","Total Power of Main Engine or Engines","Power Unit","Fish Hold Capacity","Fish Hold Capacity Unit","Freezer Types","Refrigerant Used Type","Refrigerant Used Capacity","Previous Names","Last Radio Call Sign (IRCS)","Last Flag State Registration Number","Previous Flag","Owner Company Name","Owner Mailing Address","Operator Name","Operator Mailing Address","Vessel Master Name","Vessel Master Nationality","Fishing Master Name","Fishing Master Nationality","Recent side-view vessel photo","Recent plan-view vessel photo"
"NIKKO MARU NO. 51",Japan,1997,9162576,324,33648,JFJX,431935000,SO1-1357,Japan,"Pole and Line",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,SO1-1357,OMAEZAKI,499.00,Steel,"65.46 Metres",,,"13.10 Knots",32,"HANSHIN 8MX28","348.00 Kilolitres",1471.00,KW,736.00,"Cubic Metres",Brine,NH3,"5000.00 Kg",,,,,"NIKKO MARINE CO.,LTD","5590, OMAEZAKI, OMAEZAKI-SHI, SHIZUOKA, JAPAN","NIKKO MARINE CO.,LTD","5590, OMAEZAKI, OMAEZAKI-SHI
SHIZUOKA, JAPAN","SEI MAKINO",Japan,"TAKUYA NAKAMURA",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Nikko%2051.jpg
"FUKUTOKU MARU NO.37",Japan,1993,9066904,257,30809,JQPE,431700060,MG1-1880,Japan,Longline,01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,MG1-1880,KESENNUMA,379.00,Steel,"56.17 Metres",,"49.20 Metres","12.00 Knots",23,"NIIGATA 6M28BFT","330.00 Kilolitres",735.00,KW,478.70,"Cubic Metres","Air Coils",R22,"2000.00 Kg",,,,,"FUKUTOKU GYOGYO CO.,LTD.","198-5, KAMIKOSABA, KARAKUWA-CHO, KESENNUMA-SHI, MIYAGI-KEN, JAPAN","FUKUTOKU GYOGYO CO.,LTD.","198-5, KAMIKOSABA
KARAKUWA-CHO, KESENNUMA-SHI
MIYAGI-KEN, JAPAN","TERUKATSU CHIBA",Japan,"KAZUTOSHI KAJIWARA",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Fukutoku%2037.jpg
"WAKABA MARU NO.5",Japan,2003,9281097,1913,35072,JHRG,432410000,SO1-1213,Japan,"Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Kyokuyo Suisan Co., Ltd.",Owner,,SO1-1213,YAIZU,1183.00,Steel,"64.07 Metres","55.65 Metres","57.84 Metres","15.50 Knots",26,"AKASAKA AH41AKED","426.61 Kilolitres",2942.00,KW,1213.50,"Cubic Metres","Air Coils",NH3(Ammonia),"3694.00 Kg",,,,,"Kyokuyo Suisan Co., Ltd.","1441-1,Habuchi,Yaizu-shi,
Shizuoka-ken,
Japan","Kyokuyo Suisan Co., Ltd.","1441-1,Habuchi,Yaizu-shi,
Shizuoka-ken,
Japan","Toshiaki Fukushima",Japan,"Isao Abe",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Identification%20Photo-up.jpeg
"SAJO FAMILIA","Korea, Republic of",2012,9619323,10532,36385,6KCA3,441853000,1211001-6261406,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SAJO INDUSTRIES CO., LTD",Owner,,1211001-6261406,BUSAN,1014.00,Steel,"79.56 Metres","70.00 Metres","70.76 Metres","15.69 Knots",29,"NIGATA 8MG34HX","350.00 Kilolitres",4503.00,HP,1711.10,"Cubic Metres",Brine,"R717 (Ammonia)","3000.00 Kg",,,,,"Sajo Industries Co., Ltd","107-39, Tongil-ro, 
Seodaemun-gu, 
Seoul
Republic of Korea","SAJO INDUSTRIES CO.,LTD","107-39, Tongil-ro, 
Seodaemun-gu, 
Seoul
Republic of Korea","KIM BYUNGYONG","Korea, Republic of","KIM BYUNGYONG","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/fn%20%EC%82%AC%EC%A7%84_2_0.jpg
"WAKABA MARU NO.6",Japan,1992,9062635,1915,30106,JFRJ,431696000,SO1-1131,Japan,"Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Kyokuyo Suisan Co., Ltd.",Owner,,SO1-1131,YAIZU,1096.00,Steel,"63.24 Metres","55.00 Metres","57.80 Metres","14.00 Knots",27,"DAIHATSU 8DLM-32","429.17 Kilolitres",1912.00,KW,1225.00,"Cubic Metres","Air Coils",R22,"4800.00 Kg",,,,,"Kyokuyo Suisan Co., Ltd.","1441-1,Habuchi,Yaizu-shi,
Shizuoka-ken,
Japan","Kyokuyo Suisan Co., Ltd.","1441-1,Habuchi,Yaizu-shi,
Shizuoka-ken,
Japan","Kazuyuki Abe",Japan,"Hiroyuki Sakurai",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Identification%20Photo-up.jpg
"INARI MARU NO.83",Japan,1996,9156747,306,33592,JHQK,431903000,IG1-663,Japan,"Pole and Line",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,IG1-663,,499.00,Steel,"57.12 Metres",,"56.99 Metres","14.79 Knots",32,"NIIGATA TA6MG28HX","334.70 Kilolitres",1471.00,KW,875.80,"Cubic Metres","Air Coils",R22,"2000.00 Kg",,,,,"YUGENGAISHA HIROYA","9547, HASAKI, KAMISU-SHI, IBARAKI-KEN, JAPAN","YUGENGAISHA HIROYA","9547, HASAKI, KAMISU-SHI
IBARAKI-KEN, JAPAN","Yoshinaga Hiroshi",Japan,"Mitsuo Abe",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Inari%2083.jpg
"SHILLA CHALLENGER","United States",1989,8813489,928,26377,6MET,440492000,95124106260004,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SILLA CO., LTD",Owner,,95124106260004,BUSAN,1349.20,Steel,"78.33 Metres",,"68.29 Metres","16.00 Knots",27,DAIHATSU,"300.00 Kilolitres",2942.00,KW,1000.00,"Metric Tonnes",Brine,"R717 (Ammonia)","300000.00 Kg",,,95124106260004,,"Silla Co., Ltd","30, Godeokbizvalley-Ro-Gil, 
Gangdong-Gu
SEOUL, 05203
Republic of Korea","SILLA CO. LTD","30, Godeokbizvalley-Ro-Gil, 
Gangdong-Gu
Seoul, 05203
Republic of Korea","OH BOK GEUN","Korea, Republic of","OH BOK GEUN","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/3.%20SHILLA%20CHALLENGER%20PIC%20-%202.jpg
"SHILLA HARVESTER",Taiwan,2011,9634919,10168,36264,6KCA5,441807000,12010016261103,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SILLA CO., LTD",Owner,,12010016261103,BUSAN,1971.00,Steel,"79.90 Metres",,"73.82 Metres","17.50 Knots",28,DAIHATSU,"540.00 Kilolitres",4500.00,HP,1200.00,"Metric Tonnes",Brine,"R717 (Ammonia)","408000.00 Kg",,,,,"Silla Co., Ltd","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
SEOUL, 05203
Republic of Korea","SILLA CO. LTD","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
Seoul, 05203
Republic of Korea","MO SUNGHYON","Korea, Republic of","MO SUNGHYON","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/4.%20SHILLA%20HARVESTER%20PIC%20-%202.jpg
"SAJO POSEDONIA","Korea, Republic of",2013,9683623,10844,36500,6KCC5,441930000,1311001-6261404,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SAJO INDUSTRIES CO., LTD","Authorised Agent",,1311001-6261404,BUSAN,1016.00,Steel,"79.56 Metres","70.00 Metres","70.76 Metres","15.40 Knots",29,NIIGATA,"350.00 Kilolitres",4500.00,HP,1806.00,"Cubic Metres",Brine,"R717 (Ammonia)","3000.00 Kg",,,,,"OYANG CORPORATION","2159, NAMBUSUNHWAN-RO, 
SEOCHO-GU,
 SEOUL, 
KOREA","OYANG CORPORATION","2159, NAMBUSUNHWAN-RO
SEOCHO-GU
SEOUL
REPUBLIC OF KOREA","KANG KUKYONG","Korea, Republic of","KANG KUKYONG","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/PLAN%20VIEW_1.jpg
"EISEI MARU NO.31",Japan,1992,9053567,440,29678,JJCP,431509000,SO1-1111,Japan,"Pole and Line",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,SO1-1111,SHIZUOKA,499.00,Steel,"56.87 Metres",,,"13.10 Knots",30,"AKASAKA DM36KFD","340.94 Kilolitres",1471.00,KW,716.47,"Cubic Metres",Brine,R22,"5500.00 Kg","NIKKO MARU NO.31",JJCP,,Japan,"EISEI MARU CO.,LTD","559-1, HEDA
NUMAZU-SHI
SHIZUOKA
JAPAN","EISEI MARU CO.,LTD","559-1, HEDA
NUMAZU-SHI
SHIZUOKA
JAPAN","Ueno Takumi",Japan,"ATSUSHI SATOMI",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Eisei%2031.jpg
"SHILLA PIONEER","Korea, Republic of",2014,9699579,11172,36613,6MSQ,440542000,1808001-6261107,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SILLA CO., LTD",Owner,,1808001-6261107,BUSAN,2060.00,Steel,"79.90 Metres",,"73.54 Metres","14.50 Knots",25,DAIHATSU,"500.00 Kilolitres",3309.00,HP,1300.00,"Metric Tonnes",Brine,"R717 (Ammonia)","408000.00 Kg","MAJESTIC STAR",P2V5611,001464,"Papua New Guinea","Silla Co. Ltd","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
SEOUL, 05203
Republic of Korea","SILLA CO. LTD","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
Seoul, 05203
Republic of Korea","KIM SEUNG HYUN","Korea, Republic of","KIM SEUNG HYUN","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/2.%20SHILLA%20PIONEER%20PIC%20-%201_2.jpg
"SAJO POTENTIA",Taiwan,2010,9587063,9748,36003,DTBX6,441675000,10020016261105,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SAJO INDUSTRIES CO., LTD","Authorised Agent",,10020016261105,BUSAN,1061.00,Steel,"70.59 Metres","61.94 Metres","63.08 Metres","15.50 Knots",32,NIIGATA,"362.93 Kilolitres",3600.00,HP,1580.00,"Cubic Metres",Brine,"R717 (Ammonia)","3000.00 Kg",,,,,"Sajo Seafood Co. Ltd","107-39, Tongil-ro, Seodaemun-gu, Seoul","SAJO INDUSTRIES CO.,LTD","107-39, Tongil-ro,
Seodaemun-gu,
Seoul
Republic of Korea","YOUN OKMOON","Korea, Republic of","YOUN OKMOON","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Sajo%20Potentia%20PLAN%20VIEW.jpg
"KOYO MARU NO.88",Japan,2015,9737228,11245,36645,7JSS,43116700,TT1-166,Japan,"Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Tokai Gyogyo Kabushiki Kaisha",Owner,,TT1-166,SAKAIMINATO,1884.00,Steel,"79.99 Metres","69.00 Metres","70.92 Metres","15.50 Knots",28,"NIIGATA 8MG34HX","580.00 Kilolitres",2942.00,KW,1983.26,"Cubic Metres",,NH3,"1885.00 Kg",,,,,"Tokai Gyogyo Kabushiki Kaisha","65 Eimachi, 
Sakaiminato-Shi
TOTTORI-KEN
Japan","Tokai Gyogyo Kabushiki Kaisha","65 Eimachi, 
Sakaiminato-Shi
TOTTORI-KEN
Japan","MANABU KATSUMATA",Japan,"YUKI TERANAKAA",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/IMG_9054.JPG
"SHILLA EXPLORER","Korea, Republic of",2014,9699567,11163,36608,6MPH,440450000,1808002-6261106,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SILLA CO., LTD",Owner,,1808002-6261106,BUSAN,2060.00,Steel,"79.90 Metres","73.20 Metres","73.54 Metres","17.90 Knots",25,"DAIHATSU 6DKM-36EL","500.00 Kilolitres",3309.00,HP,1300.00,"Metric Tonnes",Brine,NH3,"408000.00 Kg","MAJESTIC SUN",P2V5610,1463,"Papua New Guinea","Silla Co. Ltd","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
SEOUL, 05203
Republic of Korea","SILLA CO. LTD","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
Seoul, 05203
Republic of Korea","JUNG YOON CHAE","Korea, Republic of","JUNG YOON CHAE","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/1.%20SHILLA%20EXPLORER%20PIC%20-%202_1.jpg
"HOSHIN MARU NO.78",Japan,2013,9690303,10985,36641,7JQB,432962000,TY1-220,Japan,Longline,01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,TY1-220,NYUZEN,439.00,Steel,"57.08 Metres","49.50 Metres","49.99 Metres","13.30 Knots",25,6M28BFT-3,"239.70 Kilolitres",736.00,KW,458.10,"Cubic Metres","Air Coils",R404A,"2000.00 Kg",,,,,"IKEDA SUISAN Co.,LTD","370,ASHIZAKI,NYUZEN-MACHI, SHIMONIKAWA-GUN, TOYAMA, JAPAN","IKEDA SUISAN Co.,LTD","370, ASHIZAKI, NYUZEN-MACHI
SHIMONIKAWA-GUN
TOYAMA, JAPAN","NOBORU SATO",Japan,"NOBORU SATO",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Hoshin%2078.JPG
"SEIN PRINCESS",Japan,1986,8609981,11291,36675,3FTJ4,372199000,42446-11-D,Panama,"Fish Carrier/Reefer",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Sein Shipping Co.Ltd","Charterer / Operator",,42446-11-D,PANAMA,4963.00,Steel,"124.70 Metres","117.00 Metres","117.31 Metres","17.00 Knots",19,6UEC45LA,"1111.23 Kilolitres",7000.00,KW,7663.65,"Cubic Metres","Air Coils",R22,"1600.00 Kg",,,41522PEXT1,,"Princess Reefer S.A","10 Anson Road, #12-03A

International Plaza Singpore 079903","Sein Shipping Co.Ltd","48, Nambusunhwan-Ro 381-Gil
Gangnam-Gu, SEOUL
Republic of Korea, 06274","KIM CHAE SOB","Korea, Republic of","KIM CHAE SOB","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/SEIN%20PRINCESS%20-%20Deck%20Callsign_0.jpg
"OCEAN MASTER","United States",1989,8812227,2240,24968,6MOU,440823000,9508127-6260007,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Dongwon Industries Co., Ltd",Owner,,9508127-6260007,BUSAN,1349.20,Steel,"78.33 Metres",,,"16.00 Knots",28,L20-645F7B,"550.00 Kilolitres",4000.00,HP,1000.00,"Metric Tonnes",Brine,R22,"3200.00 Kg",,,,,"Dongwon Industries Co., Ltd","68 Mabang-ro, Seocho-gu, 
Seoul
South Korea","Dongwon Industries Co., Ltd","68 Mabang-ro, Seocho-gu, 
Seoul
South Korea","IM, DONGSAM","Korea, Republic of","IM, DONGSAM","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/OCEAN%20MASTER%20%284%29_0.jpg
"KOYO MARU NO.55",Taiwan,2014,9641663,11220,36631,7JLZ,432948000,KN1-753,Japan,"Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Sumiyoshi Gyogyo Kabushiki Kaisha",Owner,,KN1-753,MIURA,1336.00,Steel,"69.45 Metres","61.12 Metres","64.25 Metres","13.00 Knots",28,"NIIGATA 6MG34HX","467.01 Kilolitres",2647.00,KW,1382.97,"Cubic Metres",Brine,"R717 (Ammonia)","4000.00 Kg",,,,,"SUMIYOSHI GYOGYO KABUSHIKI KAISHA","3-8-7 MISAKI MIURA-SHI
KANAGAWA-KEN JAPAN","SUMIYOSHI GYOGYO KABUSHIKI KAISHA","3-8-7 MISAKI
MIURA-SHI
KANAGAWA-KEN
 JAPAN","KATSUHISA NAKAME",Japan,"YOSHIHIKO UEKI",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/2025%2055%E5%B2%AC5_0.jpg
"KAIGATA MARU NO.128",Japan,2014,9709831,11028,36540,7JRE,432984000,MG1-2076,Japan,Longline,01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,MG1-2076,KESENNUMA,479.00,Steel,"57.43 Metres","50.50 Metres","50.59 Metres","11.60 Knots",25,NIIGATA6M28BFT-3,"358.36 Kilolitres",736.00,KW,490.17,"Cubic Metres","Air Coils",R404A,"1990.00 Kg",,,,,"KAIGATA SUISAN KABUSHIKI KAISHA","2-11, UOICHIBAMAE, KESENNUMA-SHI, MIYAGI-KEN, 988-0037, JAPAN","KAIGATA SUISAN KABUSHIKI KAISHA","2-11, UOICHIBAMAE 
KESENNUMA-SHI, MIYAGI-KEN 
988-0037, JAPAN","HIDEMI HATAKEYAMA",Japan,"ATSUSHI OYAMA",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Kaigata%20128.jpg
"TOKIWA MARU NO.38",Japan,2019,9874959,11864,36918,7KFE,431541000,NG1-138,Japan,"Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Ohkura Gyogyo Co., Ltd",Owner,,NG1-138,NIIGATA,1788.00,Steel,"79.61 Metres",,"73.89 Metres","15.20 Knots",30,NIIGATA　8MG34HX,"575.00 Kilolitres",2942.00,KW,1781.82,"Cubic Metres",,ANMONIA(NH3),"4500.00 Kg",,,,,"Ohkura Gyogyo Co., Ltd.","2-7, Bandaijima, Chuo-Ku
Niigata-Shi
NIIGATA-KEN
Japan","Ohkura Gyogyo Co., Ltd.","2-7, Bandaijima, Chuo-Ku
Niigata-Shi
NIIGATA-KEN
Japan","MASAAKI ABE",Japan,"NORIAKI KONNO",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/%E7%AC%AC38%E5%B8%B8%E7%A3%90%E4%B8%B8%E3%83%98%E3%83%AA%E3%83%87%E3%83%83%E3%82%AD%E5%86%99%E7%9C%9F2025..jpg
"EISEI MARU NO.8",Japan,1994,9087790,319,32500,JEED,431617000,SO1-1123,Japan,"Pole and Line",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,SO1-1123,SHIZUOKA,499.00,Steel,"56.30 Metres",,,"12.50 Knots",31,YANMAR6N280-E2,"331.11 Kilolitres",640.00,PS,660.16,"Cubic Metres",Brine,R22,"4000.00 Kg",,,,,"EISEI MARU CO.,LTD","559-1, HEDA, NUMAZU-SHI, SHIZUOKA-KEN, JAPAN","EISEI MARU CO.,LTD","559-1, HEDA, NUMAZU-SHI,
SHIZUOKA-KEN, JAPAN","Matsunaga Seiya",Japan,"FUMIO TOMORI",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Eisei%208.jpg
"CAPE COD","United States",1978,7806283,8725,33176,WDD5547,367640000,599831,"United States","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","NOAA Fisheries - Pacific Islands Regional Office","Authorised Agent",,599831,"PAGO PAGO",1341.00,Steel,"59.58 Metres",,,"11.00 Knots",25,EMD,,3600.00,HP,950.00,"Metric Tonnes",Brine,"R717 (Ammonia)","2727.00 Kg",,,,,"CAPE COD FISHING LP","15375 SE 30TH PL STE 260, BELLEVUE, WA 98007-6500, USA","CAPE COD FISHING LP","15375 SE 30TH PL STE 260
BELLEVUE, WA 98007-6500
 USA","SOUZA, DANIEL","United States","SOUZA, DANIEL","United States",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Cape%20Cod%20aerial.jpg
FRIESLAND,Taiwan,2004,9310953,4610,35259,WDE6789,303137000,1216624,"United States","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","NOAA Fisheries - Pacific Islands Regional Office","Authorised Agent",,1216624,"LAS VEGAS",2437.00,Steel,"255.30 Metres",,,"17.00 Knots",28,Daihatsu,"825.22 Kilolitres",4500.00,HP,1905.00,"Metric Tonnes",Brine,"R717 (Ammonia)","1000.00 Kg",Friesland,YJU26,5031,Vanuatu,"FRIESLAND FISHING COMPANY LLC","2535 KETTNER BLVD STE 1A2, SAN DIEGO, CA 92101-1252, USA","FRIESLAND FISHING COMPANY LLC","2535 KETTNER BLVD STE 1A2
SAN DIEGO
CA 92101-1252
USA","GONZALEZ, SERGIO","United States","Simoa da Sousa Lala","United States",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Friesland%20WDE6789%20Helideck.jpg
"SHILLA JUPITER",Chile,2001,9199220,930,34637,DTBE8,441066000,01040036260001,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SILLA CO., LTD",Owner,,01040036260001,BUSAN,780.00,Steel,"78.96 Metres",,"69.55 Metres","16.00 Knots",27,DAIHATSU,"861.32 Kilolitres",2924.00,HP,1000.00,"Metric Tonnes",Brine,AMMONIA,"300000.00 Kg",,,,,"Silla Co., Ltd","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
SEOUL, 05203
Republic of Korea","SILLA CO. LTD","30, Godeokbizvalley-Ro-6-Gil
Gangdong-Gu
Seoul, 05203
Republic of Korea","RYWU GYEONG CHAN","Korea, Republic of","RYWU GYEONG CHAN","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/5.%20SHILLA%20JUPITER%20PIC%20-%202.jpg
"GENPUKU MARU NO.81",Japan,2020,9902366,11998,36979,7KHF,431905000,NS1-1159,Japan,"Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Kanei Bussan Kabushiki Kaisha",Owner,,NS1-1159,NAGASAKI,1788.00,Steel,"73.89 Metres","55.65 Metres","57.84 Metres","15.30 Knots",30,NIGATA8MG34HX,"370.00 Kilolitres",2942.00,KW,1932.94,"Cubic Metres",Brine,"R717 (Ammonia)","4500.00 Kg",,,,,"Kanei Bussan Kabushiki Kaisha","2-7-18, Narutaki, Nagasaki-Shi
Nagazaki-Ken,
Japan","Kanei Bussan Kabushiki Kaisha","2-7-18, Narutaki, Nagasaki-Shi
Nagazaki-Ken,
Japan","TOMOTAKA ABE",Japan,"TETSUNORI TAKAHASHI",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/81%E6%BA%90%E7%A6%8F%E4%B8%B8FFA%E5%86%99%E7%9C%9F%E3%80%80%E2%91%A0%E4%B8%8A.jpg
"CAPE FERRAT",France,1980,7803267,4487,34079,WDE2398,338712000,1074874,"United States","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","NOAA Fisheries - Pacific Islands Regional Office","Authorised Agent",,1074874,"PAGO PAGO",2019.00,Steel,"73.45 Metres",,,"12.00 Knots",25,Pielstick,"757082.00 Kilolitres",3900.00,HP,1334.00,"Metric Tonnes",Brine,"R717 (Ammonia)","2727.00 Kg",,,,,"CAPE FERRAT FISHING LP","15375 SE 30TH PL STE 260, BELLEVUE, WA 98007-6500, USA","CAPE FERRAT FISHING LP","Eastgate Office Park III
SE 30th Place
#280, BELLEVUE WA 98007
United States of America","PAIVA, CARLOS","United States","PAIVA, CARLOS","United States",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Cape%20Ferrat%20aerial.jpg
"SAJO ALEXANDRIA","Korea, Republic of",2014,9683635,10925,36526,6KCC7,440053000,1401001-6261403,"Korea, Republic of","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","SAJO INDUSTRIES CO., LTD",Owner,,1401001-6261403,BUSAN,1016.00,Steel,"79.56 Metres","70.00 Metres","70.76 Metres","16.60 Knots",29,"NIIGATA 8MG34HX","350.00 Kilolitres",4500.00,PS,1806.00,"Cubic Metres",Brine,AMMONIA,"3000.00 Kg",,,,,"Sajo Industries Co., Ltd","107-39, Tongil-ro, Seodaemun-gu, Seoul","SAJO INDUSTRIES CO.,LTD","107-39, Tongil-ro,
Seodaemun-gu
 Seoul
Republic of Korea","PAEK CHONGSONG","Korea, Republic of","PAEK CHONGSONG","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/SAJO%20ALEXANDRIA%202025.jpg
"WESTERN PACIFIC","United States",1975,7508893,4386,4341,WDD5296,367666000,564010,"United States","Single Purse Seiner",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","NOAA Fisheries - Pacific Islands Regional Office","Authorised Agent",,564010,HONOLULU,2024.00,Steel,"79.27 Metres",,,"13.00 Knots",21,EMD,"473176.00 Kilolitres",3600.00,HP,1678.00,"Metric Tonnes",Brine,"R717 (Ammonia)","2500.00 Kg",,,,,"WESTERN PACIFIC FISHERIES INC","4395 CAMERON ST STE C, LAS VEGAS, NV 89103-3819, USA","WESTERN PACIFIC FISHERIES INC","4395 CAMERON ST STE C
LAS VEGAS
NV 89103-3819, USA","REIS, JOHN;CLARK, TIMOTHY","United States","REIS, JOHN;CLARK, TIMOTHY","United States",,https://vessel-register.ffa.int/sites/default/files/vsr_files/Helicopter%20Deck%20Pic.jpg
"INARI MARU NO.85",Japan,2004,9326263,305,35345,7JAN,432507000,IG1-682,Japan,"Pole and Line",01-Jul-2025,30-Jun-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,IG1-682,,499.00,Steel,"57.12 Metres",,"56.99 Metres","14.05 Knots",32,"NIIGATA TA6MG28HK-4","334.71 Kilolitres",1471.00,KW,905.88,"Cubic Metres","Air Coils",R22,"2000.00 Kg",,,,,"YUGENGAISHA  HIROYA","9547, HASAKI, KAMISU-SHI, IBARAKI-KEN, JAPAN","YUGENGAISHA  HIROYA","9547, HASAKI, KAMISU-SHI
IBARAKI-KEN, JAPAN","Noboru Watanabe",Japan,"Noboru Watanabe",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Inari%2085.jpg
